$ cargo test --workspace
    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.23s
     Running unittests src/lib.rs (target/debug/deps/mct_daemon-0f4c7e09b0e6e44d)

running 134 tests
test blob_store::tests::fetch_absent_digest_is_typed_unavailable ... ok
test blob_store::tests::ingest_rejects_digest_mismatch_without_visible_blob ... ok
test blob_store::tests::fetch_returns_tampered_bytes_for_kernel_integrity_decision ... ok
test children::tests::authority_projection_rejects_unverified_artifacts ... ok
test children::tests::authority_projection_authorizes_only_explicit_local_approvals ... ok
test children::tests::duplicate_child_names_are_failed_closed ... ok
test children::tests::loads_sdk_child_package_from_directory_manifest ... ok
test children::tests::loads_standalone_wasm_children_from_directory ... ok
test children::tests::loads_sdk_child_packages_from_child_subdirectories ... ok
test children::tests::sdk_child_package_rejects_missing_artifact_declaration ... ok
test children::tests::registry_routes_only_allowlisted_ready_children ... ok
test children::tests::sdk_child_package_uses_manifest_declared_artifact ... ok
test children::tests::strict_integrity_requires_hash_sidecars ... ok
test composition::tests::pando_manifest_builds_activation_plan ... ok
test composition::tests::pando_manifest_missing_requirements_returns_typed_diagnostics ... ok
test composition::tests::pando_manifest_rejects_multiple_positional_args ... ok
test composition::tests::parses_pando_manifest_and_builds_registry_status ... ok
test composition::tests::pando_manifest_loader_does_not_hardcode_legacy_builtins ... ok
test config::tests::config_projection_authorizes_only_stored_approved_assignments ... ok
test config::tests::config_projects_peer_bindings_from_local_identity ... ok
test config::tests::config_store_persists_child_approval_assignment_and_revocation ... ok
test config::tests::config_store_persists_local_identity_without_storing_secret ... ok
test config::tests::config_store_persists_peer_address_book_entry ... ok
test config::tests::config_store_rejects_unverified_child_approval ... ok
test config::tests::peer_authority_projection_requires_local_identity ... ok
test control::tests::control_plane_auth_policy_fails_closed_when_token_required ... ok
test control::tests::control_plane_authorization_header_is_case_insensitive ... ok
test control::tests::control_plane_open_policy_preserves_existing_routes ... ok
test control::tests::control_plane_routes_status_state_runs_and_not_found ... ok
test control::tests::uds_authenticated_mutation_handler_receives_peer_credentials ... ok
test control::tests::uds_blob_ingest_requires_an_observing_mutation_owner ... ok
test control::tests::uds_local_mutation_handler_receives_post_body ... ok
test control::tests::uds_mutation_authentication_precedes_body_read ... ok
test control::tests::uds_request_head_is_bounded_and_classifies_preflight_before_owner_mutation ... ok
test control::tests::uds_request_header_read_has_a_deadline ... ok
test blob_store::tests::ingest_rejects_oversized_input_before_visibility ... ok
